,X,tree trunk 2,24.5,46,40716.5772,1,Eucalyptus globulus
,X,tree trunk 3,23.5,110,223327.7791,1,Eucalyptus globulus
,X,tree trunk 4,11.5,35,11064.28728,1,Eucalyptus globulus
51,X,tree trunk 1,9,35,8659.007438,1,Eucalyptus globulus
,X,tree trunk 2,24,94,166554.5354,1,Eucalyptus globulus
,X,tree trunk 3,15,42,20781.61785,1,Eucalyptus globulus
,X,tree trunk 4,11,31,8302.436973,1,Eucalyptus globulus
52,X,tree trunk 1,13,32,10455.21152,1,Eucalyptus globulus
,X,tree trunk 2,15,42,20781.61785,1,Eucalyptus globulus
,X,tree trunk 3,13,35,12507.45519,1,Eucalyptus globulus
,X,tree trunk 4,22,92,146247.2977,1,Eucalyptus globulus
,X,tree trunk 5,13,18,3308.09427,1,Eucalyptus globulus
,X,tree trunk 6,16,64,51471.81056,1,Eucalyptus globulus
53,X,tree trunk 1,8,12,904.77792,1,Eucalyptus globulus
,X,tree trunk 2,8,14,1231.50328,1,Eucalyptus globulus
54,X,tree trunk 1,12,21,4156.32357,1,Eucalyptus globulus
,X,tree trunk 2,11,26,5840.21581,1,Eucalyptus globulus
,X,tree trunk 3,13,23,5401.178608,1,Eucalyptus globulus
,X,tree trunk 4,12,20,3769.908,1,Eucalyptus globulus
,X,tree trunk 5,13,34,11802.95363,1,Eucalyptus globulus
,X,tree trunk 6,10,57,25517.56478,1,Eucalyptus globulus
,X,tree trunk 7,24,96,173717.3606,1,Eucalyptus globulus
,X,tree trunk 8,22,86,127793.598,1,Eucalyptus globulus
55,X,tree trunk 1,19,85,107815.4418,1,Eucalyptus globulus
56,X,tree trunk 1,7,22,2660.92673,1,Eucalyptus globulus
,X,tree trunk 2,13,30,9189.15075,1,Eucalyptus globulus
57,X,tree trunk 1,11,23,4570.228053,1,Eucalyptus globulus
,X,tree trunk 2,12,30,8482.293,1,Eucalyptus globulus
,X,tree trunk 3,23,82,121463.2942,1,Eucalyptus globulus
,X,tree trunk 4,8,20,2513.272,1,Eucalyptus globulus
58,X,tree trunk 1,10,35,9621.119375,1,Eucalyptus globulus
,X,tree trunk 2,9,37,9676.882598,1,Eucalyptus globulus
,X,tree trunk 3,15,55,35637.41156,1,Eucalyptus globulus
,X,tree trunk 4,21,60,59376.051,1,Eucalyptus globulus
,X,tree trunk 5,23,88,139888.7195,1,Eucalyptus globulus
,X,tree trunk 6,8,47,13879.54462,1,Eucalyptus globulus
,X,tree trunk 7,14,47,24289.20309,1,Eucalyptus globulus
60,X,tree trunk 1,11,30,7775.43525,1,Eucalyptus globulus
,X,tree trunk 2,10,42,13854.4119,1,Eucalyptus globulus
,X,tree trunk 3,20,85,113489.9388,1,Eucalyptus globulus
,X,tree trunk 4,13,40,16336.268,1,Eucalyptus globulus
,X,tree trunk 5,12,36,12214.50192,1,Eucalyptus globulus
61,X,tree trunk 1,14,47,24289.20309,1,Eucalyptus globulus
,X,tree trunk 2,18,55,42764.89388,1,Eucalyptus globulus
,X,tree trunk 3,22,32,17693.43488,1,Eucalyptus globulus
,X,tree trunk 4,12,41,15843.03837,1,Eucalyptus globulus
,X,tree trunk 5,15,46,24928.51665,1,Eucalyptus globulus
,X,tree trunk 6,19,48,34381.56096,1,Eucalyptus globulus
,X,tree trunk 7,11,32,8846.71744,1,Eucalyptus globulus
,X,tree trunk 8,8,31,6038.13598,1,Eucalyptus globulus
62,X,tree trunk 1,21,63,65462.09623,1,Eucalyptus globulus
63,X,tree trunk 1,18,40,22619.448,1,Eucalyptus globulus
,X,tree trunk 2,19,43,27591.79957,1,Eucalyptus globulus
64,X,tree trunk 1,21,55,49892.37619,1,Eucalyptus globulus
65,X,tree trunk 1,20,40,25132.72,1,Eucalyptus globulus
,X,tree trunk 2,15,35,14431.67906,1,Eucalyptus globulus
,X,tree trunk 3,18,39,21502.61276,1,Eucalyptus globulus
,X,tree trunk 4,13,25,6381.354688,1,Eucalyptus globulus
,X,tree trunk 5,12,26,6371.14452,1,Eucalyptus globulus
66,X, ,11,23,4570.228053,1,Eucalyptus globulus
,X,tree trunk 2,18,45,28627.73888,1,Eucalyptus globulus
,X,tree trunk 3,15,33,12829.46816,1,Eucalyptus globulus
67,X,tree trunk 1,10,29,6605.192975,1,Eucalyptus globulus
,X,tree trunk 2,9,21,3117.242678,1,Eucalyptus globulus
68,X,tree trunk 1,17,21,5888.125058,1,Eucalyptus globulus
,X,tree trunk 2,20,32,16084.9408,1,Eucalyptus globulus
,X,tree trunk 3,12,19,3402.34197,1,Eucalyptus globulus
69,X,tree trunk 1,19,45,30218.16881,1,Eucalyptus globulus
70,X,tree trunk 1,22,40,27645.992,1,Eucalyptus globulus
71,X,tree trunk 1,11,26,5840.21581,1,Eucalyptus globulus
72,X,tree trunk 1,6,21,2078.161785,1,Eucalyptus globulus
,X,tree trunk 2,5,20,1570.795,1,Eucalyptus globulus
73,X,tree trunk ,20,105,173180.1488,1,Eucalyptus globulus
74,X,tree trunk 1,10,26,5309.2871,1,Eucalyptus globulus
,X,tree trunk 2,10,25,4908.734375,1,Eucalyptus globulus
75,X,tree trunk 1,18,32,14476.44672,1,Eucalyptus globulus
76,X,tree trunk 1,8,23,3323.80222,1,Eucalyptus globulus
,X,tree trunk 2,12,27,6870.65733,1,Eucalyptus globulus
77,X,tree trunk 1,21,65,69684.39319,1,Eucalyptus globulus
,X,tree trunk 2,13,31,9811.970968,1,Eucalyptus globulus
,X,tree trunk 3,14,32,11259.45856,1,Eucalyptus globulus
,X,tree trunk 4,10,28,6157.5164,1,Eucalyptus globulus
,X,tree trunk 5,10,21,3463.602975,1,Eucalyptus globulus
78,X,tree trunk 1,12,38,13609.36788,1,Eucalyptus globulus
,X,tree trunk 2,13,39,15529.66477,1,Eucalyptus globulus
,X,tree trunk 3,11,31,8302.436973,1,Eucalyptus globulus
79,X,tree trunk 1,8,12,904.77792,1,Eucalyptus globulus
80,X,tree trunk 1,18,41,23764.55756,1,Eucalyptus globulus
,X,tree trunk 2,16,30,11309.724,1,Eucalyptus globulus
81,X,tree trunk 1,10,30,7068.5775,1,Eucalyptus globulus
82,X,tree trunk 1,21,65,69684.39319,1,Eucalyptus globulus
,X,tree trunk 2,18,52,38226.86712,1,Eucalyptus globulus
,X,tree trunk 3,12,30,8482.293,1,Eucalyptus globulus
,X,tree trunk 4,13,24,5881.05648,1,Eucalyptus globulus
83,X,tree trunk 1,9,22,3421.19151,1,Eucalyptus globulus
84,X,tree trunk 1,18,53,39711.2684,1,Eucalyptus globulus
,X,tree trunk 2,11,26,5840.21581,1,Eucalyptus globulus
,X,tree trunk 3,11,32,8846.71744,1,Eucalyptus globulus
,X,tree trunk 4,8,17,1815.83902,1,Eucalyptus globulus
,X,tree trunk 5,15,38,17011.70985,1,Eucalyptus globulus
,X,tree trunk 6,7,18,1781.28153,1,Eucalyptus globulus
85,X,tree trunk 1,12,25,5890.48125,1,Eucalyptus globulus
,X,tree trunk 2,14,36,14250.25224,1,Eucalyptus globulus
,X,tree trunk 3,16,35,15393.791,1,Eucalyptus globulus
86,X,tree trunk 1,12,21,4156.32357,1,Eucalyptus globulus
87,X,tree trunk 1,22,51,44942.01575,1,Eucalyptus globulus
88,X,tree trunk 1,12,35,11545.34325,1,Eucalyptus globulus
,X,tree trunk 2,13,39,15529.66477,1,Eucalyptus globulus
,X,tree trunk 3,23,63,71696.58158,1,Eucalyptus globulus
89,X,tree trunk 1,21,54,48094.60131,1,Eucalyptus globulus
,X,tree trunk 2,7,27,4007.883443,1,Eucalyptus globulus
,X,tree trunk 3,15,34,13618.79265,1,Eucalyptus globulus
,X,tree trunk 4,15,33,12829.46816,1,Eucalyptus globulus
,X,tree trunk 5,6,15,1060.286625,1,Eucalyptus globulus
,X,tree trunk 6,7,18,1781.28153,1,Eucalyptus globulus
,X,tree trunk 7,21,90,133596.1148,1,Eucalyptus globulus
90,X,tree trunk 1,10,28,6157.5164,1,Eucalyptus globulus
91,X,tree trunk 1,12,32,9650.96448,1,Eucalyptus globulus
92,X,tree trunk 1,7,15,1237.001063,1,Eucalyptus globulus
,X,tree trunk 2,8,22,3041.05912,1,Eucalyptus globulus
93,X,tree trunk 1,8,23,3323.80222,1,Eucalyptus globulus
,X,tree trunk 2,21,62,63400.42779,1,Eucalyptus globulus
94,X,tree trunk 1,21,65,69684.39319,1,Eucalyptus globulus
,X,tree trunk 2,13,22,4941.72107,1,Eucalyptus globulus
95,X,tree trunk 1,8,23,3323.80222,1,Eucalyptus globulus
,X,tree trunk 2,13,20,4084.067,1,Eucalyptus globulus
,X,tree trunk 3,9,12,1017.87516,1,Eucalyptus globulus
,X,tree trunk 4,14,28,8620.52296,1,Eucalyptus globulus
,X,tree trunk 5,15,32,12063.7056,1,Eucalyptus globulus
96,X,tree trunk 1,19,40,23876.084,1,Eucalyptus globulus
,X,tree trunk 2,17,39,20308.02316,1,Eucalyptus globulus
,X,tree trunk 3,17,35,16355.90294,1,Eucalyptus globulus
97,X,tree trunk 1,22,65,73002.69763,1,Eucalyptus globulus
